no,name,altname,RA,Dec,Orb_known(hr),Orb_possible(hr),Spin_known(s),Spin_possible(s),conf
54.0,,"IGR J14091-6117, Swift J1408.2-6113",14 08 45.98,-61 07 54.3,,,576.3,,***
55.0,,CXO J141430.1-651621,14 14 30.1,-65 16 23.3,,17.8 ?,,6120 ?,**
56.0,DD Cir,Nova Circini 1999,14 23 23.46,-69 08 45.3,2.339,,,670 ?,**
57.0,,"IGR J14257-6117, Swift J1424.8-6122",14 25 07.59,-61 18 58.1,4.05,,509.5,,***
58.0,V842 Cen,Nova Centauri 1986 No. 2,14 35 52.54,-57 37 35.5,,3.94 ?,56.825,,***
59.0,,SDSS J144659.95+025330.3,14 46 59.96,+02 53 30.3,3.8,,2920.0,,***
60.0,,SAX J1452.8-5949,14 52 52.72,-59 49 07.9,,,437.4,,**
,,"IGR J14536-5522, 1RXS J145341.1-552146, Swift J1453.4-5524",14 53 40.93,-55 21 39.7,3.1564,,11363.0,,*
61.0,,IGR J15038-6021,15 04 15.71,-60 21 23.0,,,,,**
62.0,,"IGR J15094-6649, 1RXS J150925.7-664913",15 09 26.01,-66 49 23.3,5.88,,809.42,,*****
63.0,V407 Lup,"Nova Lupi 2016, ASASSN-16kt",15 29 01.77,-44 49 40.0,3.57,,,565 ?,***
,,"CXOPS J154305.5-522709, CBS 7",15 43 05.51,-52 27 09.6,2.44,,,,*
64.0,NY Lup,1RXS J154814.5-452845,15 48 14.59,-45 28 40.0,9.87,,693.01,,*****
65.0,,"IGR J15529-5029, CXOU J155246.9-502953",15 52 46.94,-50 29 53.5,,,,,**
66.0,,"IGR J16167-4957, 1RXS J161637.1-495847",16 16 37.76,-49 58 44.6,5.004,,,,**
67.0,,"IGR J16173-5023, 1RXS J161728.1-502238",16 17 28.24,-50 22 42.0,,,,,**
68.0,V1460 Her,CRTS J162117.3+441254,16 21 17.37,+44 12 53.9,4.9884534,,38.87126,,****
69.0,,"1RXS J163100.5+695000, Gaia18cja",16 31 00.22,+69 50 01.3,,,,,**
,V1084 Her,1RXS J164345.2+340236,16 43 45.70,+34 02 39.4,2.89344,,,1903 ?,*
70.0,,"IGR J16500-3307, 1RXS J164955.1-330713",16 49 55.63,-33 07 02.2,3.617,,571.9,,*****
71.0,,"IGR J16547-1916, 1RXS J165443.5-191620",16 54 43.72,-19 16 31.2,3.715,,546.6606,,*****
72.0,,AX J1700.1-4157,17 00 04.35,-41 58 05.6,,,714.5,,***
73.0,,"IGR J17014-4306, Swift J1701.3-4304",17 01 28.15,-43 06 12.5,12.8166,,1859.11,,*****
74.0,,IGR J17040-4305,17 04 04.96,-43 05 38.1,,,,,**
75.0,V2400 Oph,RX J1712.6-2414,17 12 36.42,-24 14 44.7,3.43,,927.66,,****
,V795 Her,PG 1711+336,17 12 56.17,+33 31 18.9,2.598,,,,*
76.0,,"IGR J17195-4100, 1RXS J171935.6-410054",17 19 35.89,-41 00 53.6,4.006,,1054.0,,*****
77.0,V2731 Oph,"IGR J17303-0601, 1RXS J173021.5-055933",17 30 21.90,-05 59 31.8,15.421,,127.9999,,*****
,V2487 Oph,Nova Ophiuchi 1998,17 31 59.80,-19 13 56.2,,,,,*
78.0,,AX J1740.1-2847,17 40 09.13,-28 47 25.8,,2.1 ?,729.0,,****
79.0,V3037 Oph,"AX J1740.2-2903, 2XMM J174016.0-290337",17 40 16.10,-29 03 38.0,5.722,,623.0,,****
,,IGR J17404-3655,17 40 26.86,-36 55 37.4,,,,,*
80.0,,"Suzaku J174035.6-301416, AX J1740.5-3014, SAX J1740.5-3013",17 40 35.60,-30 14 16.0,,,432.1,,***
81.0,,CXOGC J174517.4-290650,17 45 17.47,-29 06 50.6,,,,321.5 ?,**
,,CXOGC J174531.7-290542,17 45 32.76,-29 05 43.0,,4.645 ?,,,*
82.0,,CXOGC J174532.3-290251,17 45 32.33,-29 02 51.6,,,,5612.9 ?,**
83.0,,CXOGC J174534.5-290201,17 45 34.57,-29 02 01.0,,,,971.6 ?,**
,,CXOGC J174535.6-290034,17 45 35.67,-29 00 34.8,,2.75 ?,,,*
84.0,,CXOGC J174541.8-290037,17 45 41.84,-29 00 37.6,,,,1092.2 ?,**
85.0,,CXOGC J174543.4-285841,17 45 43.49,-28 57 41.1,,,,5313.7 ?,**
86.0,,CXOUGC J174622.7-285218,17 46 22.74,-28 52 18.1,,,,1745 ?,**
87.0,,ASASSN-15fm,17 49 59.88,+03 28 59.7,,6.94 ?,,1114 ??,**
88.0,,SAX J1748.2-2808,17 48 16.86,-28 07 51.0,,,593.0,,***
,,AX J1749.2-2725,17 49 12.41,-27 25 37.6,,,220.4,,*
89.0,,CXOGBS J174954.5-294335,17 49 54.63,-29 43 35.5,8.6089,,503.32,,****
90.0,,XMMU J175035.2-293557,17 50 35.29,-29 35 57.0,,,,510 ?,**
,V697 Sco,Nova Scorpii 1941,17 51 21.83,-37 24 55.2,4.49,4.49,,11900 ?,*
,,IGR J17528-2022,17 52 49.30,-20 24 15.5,,,,,*
91.0,,IGR J18007-4146,18 00 42.71,-41 46 50.3,,,,,**
92.0,,IGR J18017-3532,18 01 12.51,-35 38 12.2,,,,,**
93.0,V1323 Her,1RXS J180340.0+401214,18 03 39.66,+40 12 20.1,4.4021,,1520.51,,*****
94.0,,CXOPS J180354.3-300005,18 03 54.41,-30 00 05.5,,,1028.0,,***
