"CLASS","NAME","DATE","Gl","Gb"
"PSR","J1713-3844","2003","348.101","0.207"
"PSR","J1715-3903","2003","348.101","-0.321"
"PSR","J1656-3621","2006","348.013","4.245"
"PSR","B1729-41","1978","347.98","-4.462"
"PSR","J1725-4043","2003","347.874","-2.92"
"PSR","J1708-3827","2003","347.776","1.123"
"PSR","B1658-37","1992","347.756","2.834"
"PSR","J1709-3841","2001","347.709","0.832"
"PSR","J1717-3953","2006","347.655","-1.157"
"PSR","B1715-40","1992","347.653","-1.533"
"PSR","J1732-4156","2004","347.589","-4.709"
"PSR","J1628-3205","2012","347.428","11.482"
"PSR","J1716-4005","2013","347.418","-1.155"
"PSR","J1703-38","2010","347.41","2.037"
"PSR","B1612-29","1978","347.387","15.056"
"PSR","J1706-3839","2003","347.387","1.301"
"PSR","J1713-3949","2002","347.279","-0.491"
"PSR","J1712-391","2006","347.26","-0.295"
"PSR","J1712-392","2006","347.26","-0.295"
"PSR","J1654-3710","2006","347.147","4.018"
"PSR","B1600-27","1978","347.126","18.767"
"PSR","J1647-3607","2010","347.084","5.773"
"PSR","J1717-4043","2003","347.016","-1.695"
"PSR","J1717-40435","2003","346.937","-1.574"
"PSR","J1715-4034","2003","346.913","-1.276"
"PSR","B1713-40","1992","346.759","-1.893"
"PSR","J1718-41","2015","346.744","-1.979"
"PSR","J1705-3936","2003","346.548","0.845"
"PSR","J1716-4111","2009","346.529","-1.795"
"PSR","J1705-3950","2003","346.341","0.718"
"PSR","J1702-3932","2003","346.203","1.401"
"PSR","J1700-3919","2004","346.161","1.826"
"PSR","J1655-3844","2013","346.046","2.906"
"PSR","B1650-38","1992","345.878","3.268"
"PSR","J1649-3805","2006","345.815","4.194"
"PSR","B1703-40","1992","345.718","-0.198"
"PSR","J1902-5105","2012","345.65","-22.379"
"PSR","J1700-4012","2006","345.488","1.234"
"PSR","J1719-4302","2003","345.341","-3.325"
"PSR","J1710-4148","2003","345.33","-1.195"
"PSR","J1705-4108","2003","345.291","-0.042"
"PSR","B1747-46","1969","345.002","-10.178"
"PSR","J1715-4254","2004","344.951","-2.562"
"PSR","J1722-4400","2006","344.843","-4.319"
"PSR","J1742-4616","2001","344.79","-8.462"
"PSR","J1702-4128","2003","344.744","0.123"
"PSR","J1649-3935","2015","344.577","3.341"
"PSR","J1653-4030","2006","344.422","2.107"
"PSR","J1629-3636","2012","344.28","8.198"
"PSR","J1638-3815","2006","344.264","5.764"
"PSR","J1811-4930","2010","344.222","-14.267"
"PSR","J1724-4500","2006","344.182","-5.121"
"PSR","J1711-4322","2006","344.145","-2.244"
"PSR","J1604-31","2018","344.125","15.385"
"PSR","J1600-3053","2007","344.09","16.451"
"PSR","J1702-4217","2004","344.078","-0.329"
"PSR","J1946-5403","2015","343.914","-29.552"
"PSR","J1706-4310","2003","343.758","-1.375"
"PSR","J1709-4342","2003","343.706","-2.193"
"PSR","J1654-4140","2003","343.609","1.247"
"PSR","J1709-43","2011","343.567","-2.355"
"PSR","J1707-4341","2003","343.521","-1.915"
"PSR","J1709-4401","2012","343.471","-2.406"
"PSR","J2144-5237","2015","343.435","-47.123"
"PSR","J1705-4331","2010","343.428","-1.515"
"PSR","J1702-4306","2009","343.405","-0.813"
"PSR","J1702-4310","2003","343.352","-0.852"
"PSR","J1650-4126","2003","343.291","1.997"
"PSR","J1618-36","2019","343.113","10.181"
"PSR","B1706-44","1992","343.098","-2.686"
"PSR","J1707-4417","2010","343.041","-2.278"
"PSR","J1718-4539","2006","343.022","-4.584"
"PSR","J1638-3951","2013","343.005","4.744"
"PSR","J1659-4316","2003","343","-0.547"
"PSR","J1658-4306","2003","342.933","-0.214"
"PSR","J1629-3825","2019","342.889","7.006"
"PSR","J1654-4245","2009","342.761","0.565"
"PSR","B1552-31","1978","342.699","16.757"
"PSR","J1653-4249","2001","342.636","0.629"
"PSR","B1727-47","1968","342.565","-7.669"
"PSR","J1749-4931","2012","342.522","-11.095"
"PSR","B1648-42","1978","342.458","0.923"
"PSR","J1702-4428","2003","342.378","-1.701"
"PSR","J1622-3751","2012","342.322","8.419"
"PSR","J1653-4315","2003","342.281","0.38"
"PSR","J1703-4442","2010","342.235","-1.916"
"PSR","J1700-4422","2003","342.235","-1.364"
"PSR","J1708-4522","2004","342.22","-3.006"
"PSR","J1659-4439","2003","341.881","-1.361"
"PSR","J1657-4432","2003","341.743","-1.006"
"PSR","J1650-4341","2003","341.623","0.485"
"PSR","J1646-4308","2003","341.603","1.374"
"PSR","J1652-4406","2011","341.564","-0.088"
"PSR","J1716-4711","2012","341.549","-5.155"
"PSR","J1649-4349","1992","341.36","0.596"
"PSR","B1657-45","2001","341.36","-2.177"
"PSR","J1603-3539","2001","341.218","12.526"
"PSR","B1643-43","1992","341.105","0.968"
"PSR","J1638-4233","2012","341.007","2.924"
"PSR","J1618-3921","2001","340.725","7.888"
"PSR","J1614-3846","2012","340.628","8.788"
"PSR","J1625-4048","1996","340.609","5.932"
"PSR","J1631-4155","2006","340.596","4.332"
"PSR","J1650-4502","2001","340.559","-0.351"
"PSR","J1624-4041","2017","340.558","6.149"
"PSR","J1644-44","2013","340.546","1.023"
"PSR","J1651-4519","2003","340.506","-0.719"
"PSR","J1707-4729","2003","340.424","-4.135"
"PSR","J1648-4458","2003","340.349","0.009"
"PSR","B1806-53","1978","340.291","-15.901"
"PSR","J1638-4344","2003","340.191","2.081"
"PSR","J1637-4335","2003","340.182","2.3"
"PSR","J1732-5049","2001","340.029","-9.454"
"PSR","J1639-4359","2003","340.023","1.875"
"PSR","J1614-3937","1996","340.004","8.206"
"PSR","J1650-4601","2017","339.782","-0.946"
"PSR","J1638-4417","2004","339.768","1.73"
"PSR","J1658-47","2015","339.742","-2.767"
"PSR","J1643-4505","2006","339.728","0.547"
"PSR","J1757-5322","2001","339.637","-13.98"
"PSR","J1643-4522","2003","339.492","0.406"
"PSR","J1648-4611","2003","339.438","-0.794"
"PSR","J1638-44","2015","339.427","1.537"
"PSR","J1637-4450","2006","339.248","1.475"
"PSR","B1641-45","1973","339.193","-0.195"
"PSR","J1636-4440","2009","339.18","1.799"
"PSR","J1643-4550","2003","339.115","0.105"
"PSR","J1649-4653","2003","339.019","-1.38"
"PSR","J1703-4851","1996","338.986","-4.515"
"PSR","J1619-42","2013","338.927","5.88"
"PSR","B1620-42","1978","338.89","4.62"
"PSR","J1513-2550","2016","338.82","26.964"
"PSR","J1644-46","2013","338.773","-0.393"
"PSR","J1635-4513","2003","338.731","1.475"
"PSR","B1630-44","1992","338.725","1.982"
"PSR","J1649-4729","2001","338.538","-1.759"
"PSR","J1617-4216","2001","338.524","5.924"
"PSR","B1635-45","1992","338.5","0.459"
"PSR","J1744-5337","2012","338.499","-12.447"
"PSR","B1634-45","1992","338.478","0.761"
"PSR","J1726-52","2019","338.441","-9.193"
"PSR","J1644-4657","2013","338.435","-0.808"
"PSR","J1638-4608","2003","338.343","0.544"
"PSR","J1632-4509","2004","338.343","2.002"
"PSR","J1622-4332","1998","338.332","4.339"
"PSR","J1640-4631","2014","338.32","-0.017"
"PSR","J1749-5417","2019","338.275","-13.427"
"PSR","J1626-44","2013","338.274","3.216"
"PSR","J1637-46","2013","338.192","0.592"
"PSR","J1740-5340A","2001","338.165","-11.967"
"PSR","J1622-4347","2006","338.122","4.198"
"PSR","J1640-4648","2003","338.114","-0.215"
"PSR","J1624-4411","2006","338.069","3.677"
"PSR","J1700-4939","2003","338.008","-4.538"
"PSR","J1329+13","2018","338.007","73.989"
"PSR","J2129-5721","1996","338.005","-43.57"
"PSR","J1652-48","2013","337.954","-3.019"
"PSR","J1528-3146","2007","337.939","20.217"
"PSR","J1653-4854","2003","337.936","-3.256"
"PSR","J1701-4958","2013","337.835","-4.841"
"PSR","J1637-4642","2003","337.788","0.312"
"PSR","B1636-47","1992","337.714","-0.439"
"PSR","J1816-5643","2009","337.673","-17.898"
"PSR","J1658-4958","2004","337.602","-4.554"
"PSR","J1632-4621","2001","337.527","1.1"
"PSR","J2241-5236","2011","337.457","-54.927"
"PSR","J1638-4725","2006","337.364","-0.296"
"PSR","J1626-4537","2003","337.346","2.367"
"PSR","J1637-4721","2003","337.304","-0.117"
"PSR","J1650-4921","2006","337.248","-3.108"
"PSR","B2151-56","1978","337.046","-47.054"
"PSR","J1546-3747A","2011","337.023","13.268"
"PSR","J1708-52","2015","336.854","-6.911"
"PSR","J1637-4816","2009","336.71","-0.831"
"PSR","J1636-4803","2003","336.7","-0.515"
"PSR","B1745-56","1978","336.637","-14.262"
"PSR","J1624-4613","2006","336.616","2.265"
"PSR","J1536-3602","2009","336.555","15.841"
"PSR","J1910-5959A","2001","336.525","-25.73"
"PSR","J1630-4719","2003","336.497","0.787"
"PSR","J1910-5959E","2002","336.494","-25.628"
"PSR","J1910-5959B","2002","336.494","-25.628"
"PSR","J1910-5959D","2002","336.493","-25.629"
"PSR","J1910-5959C","2002","336.464","-25.662"
"PSR","B1626-47","1992","336.403","0.562"
"PSR","J1627-4706","2006","336.352","1.25"
"PSR","J1632-4757","2004","336.296","0.08"
"PSR","J1633-4805","2003","336.29","-0.11"
"PSR","J1733-5515","2012","336.188","-11.801"
"PSR","J1632-4818","2001","336.08","-0.209"
"PSR","J1704-5236","2012","336.051","-6.869"
"PSR","J1624-4721","2003","335.874","1.393"
"PSR","J1617-4608","2006","335.842","3.139"
"PSR","J1640-4951","2003","335.829","-2.218"
"PSR","J1628-4804","2001","335.766","0.461"
"PSR","J1334+10","2019","335.745","70.162"
"PSR","B1707-53","1978","335.695","-8.46"
"PSR","J1636-4933","2003","335.641","-1.561"
"PSR","J1403-0314","2019","335.565","54.97"
"PSR","J1626-4807","2001","335.53","0.636"
"PSR","J1628-4828","2003","335.488","0.18"
"PSR","J1517-32","2019","335.397","21.105"
"PSR","J1635-4944","2003","335.391","-1.57"
"PSR","J1646-5123","2006","335.276","-3.929"
"PSR","J1557-4258","1996","335.273","7.952"
"PSR","J1634-49","2015","335.145","-1.484"
"PSR","J1604-44","2011","335.142","5.744"
"PSR","J1622-4802","2001","335.139","1.17"
"PSR","J1627-4845","1996","335.137","0.15"
"PSR","J1618-4723","2003","335.037","2.184"
"PSR","B1647-52","1978","335.014","-5.172"
"PSR","J1559-44","2015","334.872","6.936"
"PSR","J1658-5324","2012","334.869","-6.625"
"PSR","B1828-60","1978","334.827","-21.195"
"PSR","J1609-4616","2004","334.76","3.986"
"PSR","B1629-50","1992","334.698","-1.569"
"PSR","J1625-4904","2001","334.69","0.145"
"PSR","B1647-528","1978","334.586","-5.514"
"PSR","J1625-4913","2010","334.578","0.041"
"PSR","B1609-47","1978","334.573","2.835"
"PSR","B1556-44","1972","334.54","6.367"
"PSR","J1622-4845","2015","334.534","0.732"
"PSR","J1933-6211","2007","334.431","-28.632"
"PSR","J1627-49","2015","334.37","-0.709"
"PSR","J1634-5107","2006","334.171","-2.29"
"PSR","J2236-5527","2013","334.166","-52.719"
"PSR","J1623-4949","2001","334.003","-0.214"
"PSR","J1622-4944","2001","333.911","-0.013"
"PSR","J1620-4927","2012","333.888","0.408"
"PSR","J1529-3828","2014","333.886","14.728"
"PSR","J1622-4950","2010","333.849","-0.102"
"PSR","J1623-5005","2017","333.716","-0.307"
"PSR","J1638-5226","2003","333.702","-3.739"
"PSR","J1611-4811","2003","333.621","2.421"
"PSR","J1551-4424","2012","333.61","7.454"
"PSR","J1541-42","2011","333.514","10.214"
"PSR","J1627-51","2015","333.459","-1.541"
"PSR","J1604-4718","2006","333.399","3.814"
"PSR","J1641-5317","2017","333.291","-4.557"
"PSR","J1535-4114","2001","333.175","11.821"
"PSR","J1531-4012","2001","333.147","13.113"
"PSR","J1621-5039","2001","333.084","-0.49"
"PSR","B1524-39","1978","333.049","14.02"
"PSR","J1612-49","2015","332.985","1.295"
"PSR","B1310+18","1991","332.954","79.763"
"PSR","J1616-5017","2015","332.827","0.289"
"PSR","J1717-5800","2001","332.668","-11.475"
"PSR","J1611-4949","2001","332.59","1.14"
"PSR","J1617-5055","1998","332.499","-0.275"
"PSR","J1610-5006","2001","332.278","1.05"
"PSR","J1616-5109","2001","332.226","-0.337"
"PSR","B1610-50","1992","332.206","0.172"
"PSR","B1600-49","1978","332.152","2.442"
"PSR","J1528-4109","2001","332.106","12.671"
"PSR","J1649-5553","2001","332.077","-7.148"
"PSR","J1545-4550","2013","331.892","6.988"
"PSR","J1621-5243","2003","331.718","-2.045"
"PSR","J1614-5144","2003","331.619","-0.576"
"PSR","J1616-5208","2001","331.524","-1.038"
"PSR","J1535-4415","2001","331.447","9.324"
"PSR","J1612-5136","2003","331.4","-0.187"
"PSR","J1602-4957","2003","331.374","2.07"
"PSR","J1518-3952","2019","331.368","14.715"
"PSR","J1613-5211","2001","331.197","-0.784"
"PSR","J1534-4428","2012","331.161","9.261"
"PSR","J1601-50","2013","330.985","1.846"
"PSR","J1613-5234","2001","330.962","-1.088"
"PSR","B1607-52","1992","330.923","-0.482"
"PSR","J1607-5140","2001","330.884","0.213"
"PSR","J1609-5158","2001","330.867","-0.179"
"PSR","J1455-3330","1995","330.722","22.562"
"PSR","B1557-50","1973","330.69","1.631"
"PSR","B1558-50","1973","330.688","1.285"
"PSR","J1548-4821","2003","330.649","4.753"
"PSR","J1549-4848","1996","330.494","4.304"
"PSR","J1620-5414","2004","330.467","-2.943"
"PSR","J1552-4937","2004","330.342","3.372"
"PSR","J1610-5303","2003","330.212","-1.061"
"PSR","J1605-5215","2001","330.201","0.031"
"PSR","J1634-5640","2012","330.09","-6.066"
"PSR","J1627-5547","2003","330.074","-4.756"
"PSR","J1614-5402","2003","330.04","-2.247"
"PSR","J1534-46","2010","330.007","7.91"
"PSR","J1548-4927","2003","329.956","3.9"
"PSR","B1659-60","1978","329.762","-11.367"
"PSR","B1601-52","1973","329.732","-0.484"
"PSR","J1615-5444","2003","329.578","-2.768"
"PSR","J1601-5244","2001","329.448","0.065"
"PSR","J1539-4828","2009","329.428","5.541"
"PSR","J1706-6118","2001","329.053","-12.152"
"PSR","J1516-43","2019","329.041","12.062"
"PSR","B1611-55","1992","329.039","-3.464"
"PSR","J1554-5209","2010","329.006","1.194"
"PSR","J1612-55","2015","328.992","-2.776"
"PSR","J1601-5335","2001","328.935","-0.628"
"PSR","J1543-5013","2003","328.925","3.725"
"PSR","J1517-4356","2001","328.85","11.463"
"PSR","J1705-6135","2010","328.751","-12.228"
"PSR","J1537-4912","2001","328.705","5.181"
"PSR","J1542-5034","1996","328.568","3.577"
"PSR","J1648-6044","2010","328.22","-10.141"
"PSR","J1536-4948","2012","328.157","4.838"
"PSR","J1550-5242","2003","328.144","1.198"
"PSR","J1556-5358","2003","328.117","-0.436"
"PSR","J1558-5419","2001","328.1","-0.87"
"PSR","J1551-5310","2004","328.034","0.669"
"PSR","J1543-5149","2012","327.921","2.479"
"PSR","J1542-5133","2004","327.913","2.827"
"PSR","J1550-5317","2003","327.78","0.737"
"PSR","B1630-59","1978","327.747","-8.313"
"PSR","B1507-44","1978","327.586","11.729"
"PSR","J1546-5302","2003","327.47","1.301"
"PSR","J1517-4636","2010","327.399","9.217"
"PSR","J1627-5936","2010","327.341","-7.438"
"PSR","B1504-43","1978","327.339","12.459"
"PSR","B1541-52","1978","327.271","1.32"
"PSR","B1555-55","1978","327.238","-2.024"
"PSR","B1550-54","1978","327.186","-0.901"
"PSR","J1537-5153","2003","327.088","3.035"
"PSR","J1554-5512","2003","327.087","-1.175"
"PSR","J1542-5303","2003","327.073","1.578"
"PSR","J1612-5805","2010","327.008","-4.952"
"PSR","J1400-1431","2013","326.986","45.087"
"PSR","J1603-5657","1998","326.884","-3.309"
"PSR","J1611-5847","2006","326.465","-5.409"
"PSR","B2123-67","1978","326.392","-39.777"
"PSR","J1543-5459","2001","326.024","-0.044"
"PSR","B1556-57","1978","325.971","-3.697"
"PSR","B1510-48","1978","325.872","7.835"
"PSR","J1548-5607","2001","325.858","-1.359"
"PSR","J1532-5308","2003","325.78","2.434"
"PSR","J1558-5756","2006","325.731","-3.604"
"PSR","B1530-53","1968","325.715","1.944"
"PSR","J1538-5438","2001","325.645","0.679"
"PSR","B1530-539","1992","325.463","1.483"
"PSR","J1541-5535","2003","325.424","-0.337"
"PSR","J1536-5433","2001","325.374","0.98"
"PSR","J1530-5327","2001","325.328","2.347"
"PSR","J1902-70","2012","325.327","-26.264"
"PSR","J1539-5521","2003","325.256","0.077"
"PSR","J1514-4946","2012","325.249","6.807"
"PSR","J1538-5519","2009","325.219","0.134"
"PSR","J1549-5722","2003","325.198","-2.42"
"PSR","J1535-5450","2003","325.194","0.757"
"PSR","J1549-57","2011","325.127","-2.354"
"PSR","J1600-5916","2006","325.057","-4.798"
"PSR","J1529-5355","2003","325.006","2.009"
"PSR","J1538-5551","2004","324.912","-0.299"
"PSR","J1547-5750","2004","324.663","-2.601"
"PSR","B1535-56","1992","324.621","-0.806"
"PSR","J1538-5621","2015","324.608","-0.703"
"PSR","J1903-7051","2015","324.391","-26.508"
"PSR","J1538-5638","2003","324.378","-0.871"
"PSR","J1537-5645","2001","324.283","-0.943"
"PSR","J1525-5417","2003","324.258","2.078"
"PSR","J1547-5839","2003","324.167","-3.243"
"PSR","J1540-5736","2001","324.109","-1.891"
"PSR","J1531-5610","2003","323.897","0.033"
"PSR","J1538-5732","2006","323.865","-1.617"
"PSR","J1528-5547","2015","323.796","0.579"
"PSR","J1546-59","2012","323.791","-3.39"
"PSR","J1532-56","2015","323.79","-0.321"
"PSR","J1529-5611","2003","323.678","0.173"
"PSR","J1538-5750","2003","323.672","-1.843"
"PSR","J1525-5523","2015","323.662","1.151"
"PSR","B1523-55","1978","323.638","0.59"
"PSR","J2228-65","2019","323.529","-45.791"
"PSR","J1456-48","2015","323.492","9.837"
"PSR","J1525-5545","2014","323.439","0.851"
"PSR","J1518-5415","2009","323.383","2.675"
"PSR","J1525-5605","2003","323.286","0.565"
"PSR","J1522-5525","2003","323.231","1.397"
"PSR","J1526-5633","2003","323.136","0.093"
"PSR","B1503-51","1978","323.076","5.534"
"PSR","J1524-5625","2003","323","0.351"
"PSR","J1535-5848","2003","322.797","-2.406"
"PSR","J1536-5907","2009","322.722","-2.734"
"PSR","J1511-5414","2003","322.598","3.177"
"PSR","J1524-5706","2003","322.568","-0.186"
"PSR","J1446-4701","2012","322.5","11.425"
"PSR","J1512-5431","2003","322.486","2.92"
"PSR","J1551-6214","2012","322.3","-6.35"
"PSR","J1332-03","2015","322.25","57.909"
"PSR","J1626-6621","2012","322.214","-11.901"
"PSR","J1528-5838","2017","322.166","-1.752"
"PSR","B1454-51","1978","322.134","6.722"
"PSR","J1522-5735","2013","322.052","-0.415"
"PSR","J1622-6617","2012","321.978","-11.56"
"PSR","J1607-6449","2012","321.953","-9.486"
"PSR","J1524-5819","2009","321.907","-1.201"
"PSR","B2048-72","1978","321.869","-34.998"
"PSR","B1641-68","1978","321.842","-14.829"
"PSR","J1519-5734","2006","321.8","-0.238"
"PSR","B1518-58","1992","321.63","-1.215"
"PSR","J1358-2533","1996","321.485","34.887"
"PSR","J1427-4158","2009","321.48","17.391"
"PSR","J1515-5720","2003","321.39","0.282"
"PSR","J1513-5739","2001","321.097","0.104"
