x,y,source
240.0,17.45493994414351,ASKAP J1832-0911
190.0,17.72587392368089,ASKAP J1832-0911
250.0,16.66325165797736,ASKAP J1832-0911
130.0,3.131155649783047,ASKAP J1832-0911
60.0,1.382527229613698,ASKAP J1832-0911
30.0,0.8792617940606705,ASKAP J1832-0911
90.0,1.430878171836011,ASKAP J1832-0911
30.0,0.8368221086367931,ASKAP J1832-0911
10.0,1.0448756364693168,ASKAP J1832-0911
50.0,1.0976951625198126,ASKAP J1832-0911
60.0,1.3930529449135065,ASKAP J1832-0911
70.0,1.2954175360500813,ASKAP J1832-0911
50.0,1.3029422387480736,ASKAP J1832-0911
30.0,0.8566668229177594,ASKAP J1832-0911
100.0,0.9786312337964772,ASKAP J1832-0911
20.0,0.6927945977076888,ASKAP J1832-0911
30.0,1.417291497811675,ASKAP J1832-0911
60.0,1.0119948126375675,ASKAP J1832-0911
30.0,1.4365003556013107,ASKAP J1832-0911
60.0,1.281998025253415,ASKAP J1832-0911
60.0,1.32910549454391,ASKAP J1832-0911
60.0,1.226640298962593,ASKAP J1832-0911
50.0,0.920862989500165,ASKAP J1832-0911
20.0,0.934039743617177,ASKAP J1832-0911
50.0,0.8021493153646588,ASKAP J1832-0911
40.0,1.319298818707466,ASKAP J1832-0911
60.0,1.2073159469291568,ASKAP J1832-0911
60.0,0.9137865342199802,ASKAP J1832-0911
60.0,1.1275425413623452,ASKAP J1832-0911
80.0,0.9333399133756756,ASKAP J1832-0911
70.0,0.8366862433031201,ASKAP J1832-0911
60.0,0.987623113207519,ASKAP J1832-0911
20.0,0.8521292869362139,ASKAP J1832-0911
10.0,0.8696358283973098,ASKAP J1832-0911
10.0,0.7401247925129355,ASKAP J1832-0911
30.0,1.1449305057388297,ASKAP J1832-0911
20.0,0.9259667659547473,ASKAP J1832-0911
